// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 0388A23E
//  ProductCode: MTi-3-8A7G6
//  Firmware Version: 1.20.1
//  Hardware Version: 5.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,AccHR_X,AccHR_Y,AccHR_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw,Temperature
16892,19319519,0,0,0,-0.131993,0.031852,9.753344,0,0,0,0,0,0,0.00
16897,19319559,0,0,0,-0.117286,0.012770,9.786829,0,0,0,0,0,0,0.00
16900,19319589,0,0,0,-0.112835,0.046302,9.762765,0,0,0,0,0,0,0.00
16905,19319638,0,0,0,-0.098794,0.036795,9.714721,0,0,0,0,0,0,0.00
16909,19319668,0,0,0,-0.127397,0.041449,9.734112,0,0,0,0,0,0,0.00
16913,19319708,0,0,0,-0.127330,0.051023,9.748482,0,0,0,0,0,0,0.00
16918,19319747,0,0,0,-0.127389,0.055809,9.743680,0,0,0,0,0,0,0.00
16922,19319787,0,0,0,-0.117827,0.051066,9.738818,0,0,0,0,0,0,0.00
16926,19319827,0,0,0,-0.117777,0.031918,9.734054,0,0,0,0,0,0,0.00
16931,19319866,0,0,0,-0.117600,0.017557,9.748461,0,0,0,0,0,0,0.00
16935,19319906,0,0,0,-0.117519,0.031918,9.767619,0,0,0,0,0,0,0.00
16940,19319946,0,0,0,-0.117234,0.017557,9.796412,0,0,0,0,0,0,0.00
16944,19319986,0,0,0,-0.117403,0.022344,9.777224,0,0,0,0,0,0,0.00
16948,19320025,0,0,0,-0.088888,0.036839,9.757804,0,0,0,0,0,0,0.00
16953,19320065,0,0,0,-0.103464,0.051133,9.738709,0,0,0,0,0,0,0.00
16957,19320105,0,0,0,-0.113069,0.065451,9.743555,0,0,0,0,0,0,0.00
16961,19320144,0,0,0,-0.108390,0.065473,9.729134,0,0,0,0,0,0,0.00
16966,19320184,0,0,0,-0.156064,0.060463,9.753480,0,0,0,0,0,0,0.00
16970,19320224,0,0,0,-0.122732,0.036683,9.714902,0,0,0,0,0,0,0.00
16975,19320263,0,0,0,-0.141738,0.036594,9.734228,0,0,0,0,0,0,0.00
16978,19320293,0,0,0,-0.117799,0.012770,9.719698,0,0,0,0,0,0,0.00
16982,19320333,0,0,0,-0.117622,0.022344,9.748453,0,0,0,0,0,0,0.00
16987,19320373,0,0,0,-0.112718,0.012793,9.758022,0,0,0,0,0,0,0.00
16991,19320412,0,0,0,-0.112644,0.012793,9.767612,0,0,0,0,0,0,0.00
16996,19320452,0,0,0,-0.098215,0.022433,9.781874,0,0,0,0,0,0,0.00
17000,19320492,0,0,0,-0.132030,0.055787,9.762897,0,0,0,0,0,0,0.00
17004,19320531,0,0,0,-0.132051,0.060575,9.762889,0,0,0,0,0,0,0.00
17009,19320571,0,0,0,-0.141706,0.070104,9.758151,0,0,0,0,0,0,0.00
17013,19320611,0,0,0,-0.118046,0.075002,9.724396,0,0,0,0,0,0,0.00
17016,19320641,0,0,0,-0.151386,0.060485,9.739058,0,0,0,0,0,0,0.00
17022,19320690,0,0,0,-0.137038,0.031829,9.719814,0,0,0,0,0,0,0.00
17026,19320730,0,0,0,-0.151248,0.022188,9.734323,0,0,0,0,0,0,0.00
17031,19320770,0,0,0,-0.117564,-0.006378,9.738909,0,0,0,0,0,0,0.00
17035,19320809,0,0,0,-0.122249,0.003174,9.758110,0,0,0,0,0,0,0.00
17038,19320839,0,0,0,-0.098472,0.022433,9.748308,0,0,0,0,0,0,0.00
17044,19320889,0,0,0,-0.079195,0.027309,9.767336,0,0,0,0,0,0,0.00
17047,19320918,0,0,0,-0.074824,0.070415,9.738461,0,0,0,0,0,0,0.00
17052,19320958,0,0,0,-0.127321,0.065384,9.758050,0,0,0,0,0,0,0.00
17056,19320998,0,0,0,-0.108162,0.079833,9.767471,0,0,0,0,0,0,0.00
17060,19321037,0,0,0,-0.141561,0.070104,9.777331,0,0,0,0,0,0,0.00
17065,19321077,0,0,0,-0.136840,0.060552,9.762925,0,0,0,0,0,0,0.00
17069,19321117,0,0,0,-0.113062,0.031940,9.724427,0,0,0,0,0,0,0.00
17074,19321157,0,0,0,-0.136797,0.003107,9.734244,0,0,0,0,0,0,0.00
17078,19321196,0,0,0,-0.122396,0.003174,9.738930,0,0,0,0,0,0,0.00
17082,19321236,0,0,0,-0.112938,0.012793,9.729252,0,0,0,0,0,0,0.00
17087,19321276,0,0,0,-0.127316,0.007938,9.724574,0,0,0,0,0,0,0.00
17091,19321315,0,0,0,-0.108193,0.046324,9.743548,0,0,0,0,0,0,0.00
17094,19321345,0,0,0,-0.113010,0.060663,9.748358,0,0,0,0,0,0,0.00
17100,19321395,0,0,0,-0.113009,0.084599,9.762705,0,0,0,0,0,0,0.00
17104,19321434,0,0,0,-0.103565,0.089430,9.748240,0,0,0,0,0,0,0.00
17109,19321474,0,0,0,-0.117775,0.079788,9.762749,0,0,0,0,0,0,0.00
17112,19321504,0,0,0,-0.117798,0.060640,9.748394,0,0,0,0,0,0,0.00
17116,19321544,0,0,0,-0.155969,0.031740,9.748730,0,0,0,0,0,0,0.00
17121,19321583,0,0,0,-0.132133,-0.001657,9.715035,0,0,0,0,0,0,0.00
17125,19321623,0,0,0,-0.103326,-0.011099,9.719626,0,0,0,0,0,0,0.00
17130,19321663,0,0,0,-0.127038,-0.020783,9.743799,0,0,0,0,0,0,0.00
17134,19321702,0,0,0,-0.069833,-0.006156,9.719365,0,0,0,0,0,0,0.00
17138,19321742,0,0,0,-0.108098,0.041537,9.753146,0,0,0,0,0,0,0.00
17143,19321782,0,0,0,-0.103354,0.051133,9.753095,0,0,0,0,0,0,0.00
17147,19321821,0,0,0,-0.136802,0.084487,9.782067,0,0,0,0,0,0,0.00
17152,19321861,0,0,0,-0.113193,0.084599,9.738729,0,0,0,0,0,0,0.00
17156,19321901,0,0,0,-0.122674,0.055831,9.734053,0,0,0,0,0,0,0.00
17160,19321941,0,0,0,-0.132441,0.041427,9.700583,0,0,0,0,0,0,0.00
17165,19321980,0,0,0,-0.132242,0.022278,9.714997,0,0,0,0,0,0,0.00
17169,19322020,0,0,0,-0.127074,0.003152,9.753352,0,0,0,0,0,0,0.00
17174,19322060,0,0,0,-0.098340,-0.006289,9.748354,0,0,0,0,0,0,0.00
17177,19322089,0,0,0,-0.122352,-0.006400,9.738945,0,0,0,0,0,0,0.00
17181,19322129,0,0,0,-0.112864,0.012793,9.738842,0,0,0,0,0,0,0.00
17186,19322169,0,0,0,-0.098633,0.041582,9.738688,0,0,0,0,0,0,0.00
17190,19322208,0,0,0,-0.093617,0.032029,9.762643,0,0,0,0,0,0,0.00
17195,19322248,0,0,0,-0.117666,0.055853,9.762787,0,0,0,0,0,0,0.00
17199,19322288,0,0,0,-0.112819,0.075025,9.781900,0,0,0,0,0,0,0.00
17203,19322328,0,0,0,-0.146472,0.065295,9.758195,0,0,0,0,0,0,0.00
17208,19322367,0,0,0,-0.141824,0.079678,9.748546,0,0,0,0,0,0,0.00
17212,19322407,0,0,0,-0.137082,0.041404,9.719799,0,0,0,0,0,0,0.00
17216,19322438,-0.136121,0.052387,9.737925,0,0,0,0.140071,-0.933155,-0.580944,0.264383,0.671692,-173.443757,28.30
17221,19322486,0,0,0,-0.151145,-0.016109,9.724792,0,0,0,0,0,0,0.00
17225,19322526,0,0,0,-0.093742,-0.020628,9.714774,0,0,0,0,0,0,0.00
17230,19322566,0,0,0,-0.141276,-0.016064,9.763081,0,0,0,0,0,0,0.00
17234,19322605,0,0,0,-0.103157,0.008049,9.753162,0,0,0,0,0,0,0.00
17238,19322645,0,0,0,-0.136591,0.022255,9.772574,0,0,0,0,0,0,0.00
17243,19322685,0,0,0,-0.131874,0.070148,9.791644,0,0,0,0,0,0,0.00
17246,19322715,0,0,0,-0.103587,0.094216,9.748233,0,0,0,0,0,0,0.00
17251,19322754,0,0,0,-0.118024,0.118085,9.753098,0,0,0,0,0,0,0.00
17259,19322834,0,0,0,-0.132285,0.079722,9.743678,0,0,0,0,0,0,0.00
17264,19322873,0,0,0,-0.170208,0.012526,9.753664,0,0,0,0,0,0,0.00
17268,19322913,0,0,0,-0.146240,-0.025660,9.734362,0,0,0,0,0,0,0.00
17271,19322943,0,0,0,-0.160280,-0.040088,9.768058,0,0,0,0,0,0,0.00
17277,19322992,0,0,0,-0.103282,-0.020673,9.719642,0,0,0,0,0,0,0.00
17281,19323032,0,0,0,-0.126796,-0.025571,9.772577,0,0,0,0,0,0,0.00
17286,19323072,0,0,0,-0.093808,0.041604,9.743447,0,0,0,0,0,0,0.00
17289,19323102,0,0,0,-0.146341,0.060508,9.772588,0,0,0,0,0,0,0.00
17293,19323141,0,0,0,-0.141999,0.117974,9.748486,0,0,0,0,0,0,0.00
17298,19323181,0,0,0,-0.137138,0.117996,9.758039,0,0,0,0,0,0,0.00
17302,19323221,0,0,0,-0.146685,0.113177,9.758107,0,0,0,0,0,0,0.00
17307,19323260,0,0,0,-0.118047,0.084588,9.729162,0,0,0,0,0,0,0.00
17311,19323300,0,0,0,-0.122506,0.036695,9.743660,0,0,0,0,0,0,0.00
17315,19323340,0,0,0,-0.103318,-0.011086,9.719613,0,0,0,0,0,0,0.00
17320,19323379,0,0,0,-0.141239,-0.030413,9.758296,0,0,0,0,0,0,0.00
17324,19323419,0,0,0,-0.098304,-0.020638,9.743568,0,0,0,0,0,0,0.00
17329,19323459,0,0,0,-0.112572,-0.001556,9.767623,0,0,0,0,0,0,0.00
17333,19323498,0,0,0,-0.117389,0.012782,9.772431,0,0,0,0,0,0,0.00
17337,19323538,0,0,0,-0.117660,0.055866,9.762774,0,0,0,0,0,0,0.00
17342,19323578,0,0,0,-0.127607,0.089331,9.734023,0,0,0,0,0,0,0.00
17346,19323618,0,0,0,-0.165771,0.074792,9.743927,0,0,0,0,0,0,0.00
17351,19323657,0,0,0,-0.089292,0.070360,9.724173,0,0,0,0,0,0,0.00
17354,19323687,0,0,0,-0.122564,0.041482,9.738857,0,0,0,0,0,0,0.00
17358,19323727,0,0,0,-0.141818,0.031819,9.719837,0,0,0,0,0,0,0.00
17363,19323766,0,0,0,-0.151167,0.022202,9.743900,0,0,0,0,0,0,0.00
17367,19323806,0,0,0,-0.112945,0.031953,9.738800,0,0,0,0,0,0,0.00
17372,19323846,0,0,0,-0.117506,0.022357,9.762826,0,0,0,0,0,0,0.00
17376,19323886,0,0,0,-0.079357,0.032108,9.748136,0,0,0,0,0,0,0.00
17380,19323925,0,0,0,-0.093171,0.008106,9.805823,0,0,0,0,0,0,0.00
17385,19323965,0,0,0,-0.098523,0.003297,9.729145,0,0,0,0,0,0,0.00
17389,19324005,0,0,0,-0.102974,-0.030235,9.753210,0,0,0,0,0,0,0.00
17393,19324044,0,0,0,-0.122330,0.046269,9.772415,0,0,0,0,0,0,0.00
17398,19324084,0,0,0,-0.165523,0.060431,9.767925,0,0,0,0,0,0,0.00
17402,19324124,0,0,0,-0.137133,0.070138,9.729331,0,0,0,0,0,0,0.00
17407,19324163,0,0,0,-0.136766,0.070138,9.777283,0,0,0,0,0,0,0.00
17411,19324203,0,0,0,-0.113031,0.075036,9.753118,0,0,0,0,0,0,0.00
17414,19324233,0,0,0,-0.098706,0.051167,9.733865,0,0,0,0,0,0,0.00
17420,19324282,0,0,0,-0.093618,0.017680,9.753062,0,0,0,0,0,0,0.00
17423,19324312,0,0,0,-0.088903,0.017702,9.743436,0,0,0,0,0,0,0.00
17428,19324352,0,0,0,-0.117484,-0.006366,9.748487,0,0,0,0,0,0,0.00
17432,19324392,0,0,0,-0.122264,0.007973,9.758090,0,0,0,0,0,0,0.00
17436,19324431,0,0,0,-0.112907,0.055888,9.757942,0,0,0,0,0,0,0.00
17441,19324471,0,0,0,-0.112864,0.070250,9.772305,0,0,0,0,0,0,0.00
17445,19324511,0,0,0,-0.117805,0.079802,9.757941,0,0,0,0,0,0,0.00
17450,19324550,0,0,0,-0.098742,0.075103,9.743419,0,0,0,0,0,0,0.00
17454,19324590,0,0,0,-0.113010,0.070250,9.753125,0,0,0,0,0,0,0.00
17458,19324630,0,0,0,-0.084123,0.027299,9.748179,0,0,0,0,0,0,0.00
17463,19324669,0,0,0,-0.045785,-0.020394,9.723988,0,0,0,0,0,0,0.00
17467,19324709,0,0,0,0.011808,-0.034489,9.733164,0,0,0,0,0,0,0.00
17470,19324739,0,0,0,0.059327,0.004029,9.708765,0,0,0,0,0,0,0.00
17476,19324789,0,0,0,-0.269763,-0.026225,9.859966,0,0,0,0,0,0,0.00
17480,19324828,0,0,0,-0.165493,0.046070,9.763152,0,0,0,0,0,0,0.00
17485,19324868,0,0,0,-0.375196,0.035518,9.884644,0,0,0,0,0,0,0.00
17489,19324908,0,0,0,-0.109306,0.122929,9.642719,0,0,0,0,0,0,0.00
17492,19324937,0,0,0,-0.056494,0.123173,9.661500,0,0,0,0,0,0,0.00
17497,19324977,0,0,0,-0.003923,0.152140,9.665851,0,0,0,0,0,0,0.00
