// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 0388A23E
//  ProductCode: MTi-3-8A7G6
//  Firmware Version: 1.20.1
//  Hardware Version: 5.0.0
// Device settings: 
//  Filter Profile: general(50.10)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,AccHR_X,AccHR_Y,AccHR_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw,Temperature
29451,3171089,0,0,0,0.249836,0.258465,9.740667,0,0,0,0,0,0,0.00
29453,3171129,0,0,0,0.269149,0.239405,9.750143,0,0,0,0,0,0,0.00
29455,3171169,0,0,0,0.254872,0.244124,9.764629,0,0,0,0,0,0,0.00
29457,3171208,0,0,0,0.264353,0.248957,9.754959,0,0,0,0,0,0,0.00
29460,3171248,0,0,0,0.254652,0.244124,9.735859,0,0,0,0,0,0,0.00
29462,3171288,0,0,0,0.259602,0.248935,9.759790,0,0,0,0,0,0,0.00
29464,3171327,0,0,0,0.269046,0.229830,9.730977,0,0,0,0,0,0,0.00
29466,3171367,0,0,0,0.264426,0.248957,9.764549,0,0,0,0,0,0,0.00
29468,3171407,0,0,0,0.269199,0.244191,9.759726,0,0,0,0,0,0,0.00
29470,3171446,0,0,0,0.273863,0.239427,9.740517,0,0,0,0,0,0,0.00
29472,3171486,0,0,0,0.250180,0.263251,9.788611,0,0,0,0,0,0,0.00
29474,3171526,0,0,0,0.259697,0.244147,9.769388,0,0,0,0,0,0,0.00
29476,3171566,0,0,0,0.264265,0.244169,9.740582,0,0,0,0,0,0,0.00
29478,3171605,0,0,0,0.259697,0.244147,9.769388,0,0,0,0,0,0,0.00
29481,3171645,0,0,0,0.264389,0.248957,9.759754,0,0,0,0,0,0,0.00
29482,3171665,0,0,0,0.264317,0.248957,9.750164,0,0,0,0,0,0,0.00
29484,3171704,0,0,0,0.274156,0.239427,9.778878,0,0,0,0,0,0,0.00
29486,3171744,0,0,0,0.259763,0.229786,9.769410,0,0,0,0,0,0,0.00
29488,3171784,0,0,0,0.269053,0.244191,9.740545,0,0,0,0,0,0,0.00
29490,3171824,0,0,0,0.273980,0.253788,9.764469,0,0,0,0,0,0,0.00
29492,3171863,0,0,0,0.264397,0.263318,9.769321,0,0,0,0,0,0,0.00
29494,3171903,0,0,0,0.283270,0.268194,9.735603,0,0,0,0,0,0,0.00
29496,3171943,0,0,0,0.250011,0.244102,9.755075,0,0,0,0,0,0,0.00
29498,3171982,0,0,0,0.254638,0.239338,9.731071,0,0,0,0,0,0,0.00
29501,3172022,0,0,0,0.259514,0.244147,9.745413,0,0,0,0,0,0,0.00
29503,3172062,0,0,0,0.254982,0.220189,9.764667,0,0,0,0,0,0,0.00
29505,3172101,0,0,0,0.264484,0.244169,9.769352,0,0,0,0,0,0,0.00
29507,3172141,0,0,0,0.245180,0.229719,9.740748,0,0,0,0,0,0,0.00
29509,3172181,0,0,0,0.250202,0.234529,9.774270,0,0,0,0,0,0,0.00
29511,3172221,0,0,0,0.264331,0.253744,9.754951,0,0,0,0,0,0,0.00
29513,3172260,0,0,0,0.293176,0.244303,9.764338,0,0,0,0,0,0,0.00
29515,3172300,0,0,0,0.278702,0.268172,9.764410,0,0,0,0,0,0,0.00
29517,3172340,0,0,0,0.259653,0.253722,9.769373,0,0,0,0,0,0,0.00
29519,3172379,0,0,0,0.240340,0.248845,9.745551,0,0,0,0,0,0,0.00
29521,3172407,0.261777,0.248966,9.759268,0,0,0,-0.126801,0.679435,-0.585031,3.125994,-2.601431,-11.105969,28.52
29524,3172459,0,0,0,0.254938,0.229763,9.764651,0,0,0,0,0,0,0.00
29526,3172498,0,0,0,0.264528,0.234595,9.769366,0,0,0,0,0,0,0.00
29528,3172538,0,0,0,0.254483,0.248912,9.716671,0,0,0,0,0,0,0.00
29529,3172558,0,0,0,0.254799,0.244124,9.755039,0,0,0,0,0,0,0.00
29531,3172598,0,0,0,0.269346,0.244191,9.778907,0,0,0,0,0,0,0.00
29533,3172637,0,0,0,0.316946,0.249201,9.744969,0,0,0,0,0,0,0.00
29535,3172677,0,0,0,0.283600,0.244258,9.764412,0,0,0,0,0,0,0.00
29537,3172717,0,0,0,0.273921,0.234639,9.745318,0,0,0,0,0,0,0.00
29541,3172796,0,0,0,0.245524,0.234507,9.788692,0,0,0,0,0,0,0.00
29544,3172836,0,0,0,0.254916,0.234550,9.764644,0,0,0,0,0,0,0.00
29546,3172875,0,0,0,0.250180,0.239316,9.774263,0,0,0,0,0,0,0.00
29548,3172915,0,0,0,0.230933,0.244014,9.764812,0,0,0,0,0,0,0.00
29550,3172955,0,0,0,0.259448,0.234573,9.731042,0,0,0,0,0,0,0.00
29552,3172995,0,0,0,0.269258,0.215468,9.750180,0,0,0,0,0,0,0.00
29554,3173034,0,0,0,0.283739,0.229897,9.774024,0,0,0,0,0,0,0.00
29556,3173074,0,0,0,0.288065,0.258642,9.730786,0,0,0,0,0,0,0.00
29558,3173114,0,0,0,0.274046,0.263362,9.778840,0,0,0,0,0,0,0.00
29560,3173153,0,0,0,0.273855,0.249001,9.745296,0,0,0,0,0,0,0.00
29562,3173193,0,0,0,0.259551,0.244147,9.750208,0,0,0,0,0,0,0.00
29563,3173213,0,0,0,0.255077,0.239338,9.788613,0,0,0,0,0,0,0.00
29566,3173253,0,0,0,0.249960,0.239316,9.745493,0,0,0,0,0,0,0.00
29568,3173292,0,0,0,0.235802,0.234462,9.769585,0,0,0,0,0,0,0.00
29570,3173332,0,0,0,0.230896,0.244014,9.760016,0,0,0,0,0,0,0.00
