Actual_Temperature,Predicted_Temperature_KNN,Actual_Mag_X,Predicted_Mag_X_KNN,Actual_Mag_Y,Predicted_Mag_Y_KNN,Actual_Mag_Z,Predicted_Mag_Z_KNN
28.65,25.77,-0.12571,0.730252,-0.680445,-2.440921,-0.568368,0.544899
29.18,29.18,0.383101,0.38279,-0.603166,-0.601076,-0.52701,-0.526789
30.42,30.41,-0.704707,-0.705177,0.042619,0.041037,-0.489074,-0.490499
29.21,29.21,0.398763,0.399454,-0.617861,-0.618463,-0.544572,-0.544071
28.64,28.64,-0.07237,-0.072444,-0.723065,-0.723441,-0.532325,-0.534233
30.07,30.06,-0.702702,-0.702013,0.048664,0.048763,-0.493496,-0.493188
30.49,30.5,-0.705684,-0.705576,0.041125,0.040833,-0.4896,-0.490204
29.07,29.06,0.389577,0.388414,-0.606621,-0.6066,-0.527995,-0.530209
30.64,30.63,-0.707157,-0.70657,0.039629,0.039022,-0.490131,-0.489231
30.72,30.68,-0.705214,-0.706874,0.039096,0.037811,-0.486614,-0.488146
29.03,29.02,0.667085,0.663293,-0.483845,-0.481677,-0.486628,-0.485635
28.64,28.64,-0.071843,-0.072355,-0.726542,-0.726961,-0.533361,-0.531868
30.18,30.18,-0.702722,-0.703302,0.045636,0.04605,-0.490525,-0.491928
30.52,30.52,-0.713574,-0.709508,0.036625,0.037142,-0.491223,-0.491482
30.36,30.34,-0.706147,-0.690532,0.040654,0.047079,-0.492114,-0.490503
29.81,29.81,-0.706476,-0.70571,0.086458,0.087436,-0.485087,-0.483266
28.65,28.65,-0.079483,-0.079661,-0.71925,-0.718629,-0.519821,-0.521819
28.44,28.44,0.136576,0.136175,-0.934196,-0.9339,-0.578481,-0.578281
30.33,30.3,-0.717022,-0.711109,0.038138,0.040231,-0.49374,-0.491661
29.69,29.72,-0.706019,-0.705808,0.087925,0.087638,-0.482562,-0.483465
29.89,29.89,-0.686719,-0.707197,0.093477,0.08693,-0.481831,-0.483084
30.4,30.42,-0.621586,-0.62236,0.12899,0.128505,-0.552989,-0.554404
30.48,30.48,-0.624002,-0.62809,0.129545,0.128605,-0.558513,-0.556255
30.46,30.46,-0.706167,-0.705988,0.037626,0.040215,-0.489143,-0.488712
29.77,29.76,-0.706496,-0.706117,0.087942,0.088227,-0.484068,-0.48276
30.43,30.43,-0.705685,-0.705671,0.040121,0.040937,-0.489111,-0.490604
30.6,30.58,-0.70124,-0.705291,0.042127,0.04022,-0.488549,-0.488906
30.24,30.24,-0.702261,-0.692146,0.047609,0.049353,-0.488496,-0.48929
30.6,30.6,-0.721021,-0.703134,0.034079,0.041308,-0.489313,-0.487372
30.55,30.55,-0.626493,-0.615997,0.129524,0.130451,-0.557533,-0.556631
30.36,30.39,-0.705034,-0.705823,0.08692,0.087823,-0.481563,-0.482261
30.37,30.36,-0.72349,-0.72034,0.035584,0.03778,-0.49082,-0.489866
30.72,30.71,-0.704674,-0.706274,0.037637,0.037919,-0.489631,-0.48864
30.42,30.41,-0.622081,-0.622186,0.130995,0.129785,-0.553972,-0.552985
30.36,30.37,-0.71593,-0.726586,0.084884,0.080484,-0.481681,-0.484227
22.86,22.85,-0.459595,-0.459485,0.08784,0.088151,-0.563568,-0.564565
28.62,28.64,-0.080565,-0.080063,-0.713828,-0.713318,-0.514761,-0.515552
29.91,29.89,-0.705987,-0.692482,0.08545,0.092643,-0.484092,-0.480588
30.72,30.71,-0.707678,-0.707166,0.037596,0.038317,-0.487153,-0.488844
