Actual_Temperature,Predicted_Temperature_RFR,Actual_Mag_X,Predicted_Mag_X_RFR,Actual_Mag_Y,Predicted_Mag_Y_RFR,Actual_Mag_Z,Predicted_Mag_Z_RFR
28.65,28.64,-0.12571,-0.085239,-0.680445,-0.729061,-0.568368,-0.540539
29.18,29.18,0.383101,0.383651,-0.603166,-0.601957,-0.52701,-0.526641
30.42,30.42,-0.704707,-0.704976,0.042619,0.041673,-0.489074,-0.49102
29.21,29.21,0.398763,0.399853,-0.617861,-0.618725,-0.544572,-0.544537
28.64,28.64,-0.07237,-0.072726,-0.723065,-0.724349,-0.532325,-0.531811
30.07,30.07,-0.702702,-0.701964,0.048664,0.048376,-0.493496,-0.493753
30.49,30.5,-0.705684,-0.705593,0.041125,0.041347,-0.4896,-0.490694
29.07,29.07,0.389577,0.388037,-0.606621,-0.604786,-0.527995,-0.528949
30.64,30.62,-0.707157,-0.706342,0.039629,0.038391,-0.490131,-0.488976
30.72,30.72,-0.705214,-0.706125,0.039096,0.037945,-0.486614,-0.487842
29.03,29.02,0.667085,0.667084,-0.483845,-0.483922,-0.486628,-0.487736
28.64,28.64,-0.071843,-0.072337,-0.726542,-0.727123,-0.533361,-0.531604
30.18,30.18,-0.702722,-0.702959,0.045636,0.045495,-0.490525,-0.492152
30.52,30.52,-0.713574,-0.713229,0.036625,0.035832,-0.491223,-0.491559
30.36,30.35,-0.706147,-0.704584,0.040654,0.041439,-0.492114,-0.492172
29.81,29.8,-0.706476,-0.706642,0.086458,0.08814,-0.485087,-0.483221
28.65,28.65,-0.079483,-0.080277,-0.71925,-0.718913,-0.519821,-0.521983
28.44,28.44,0.136576,0.13632,-0.934196,-0.933623,-0.578481,-0.578081
30.33,30.33,-0.717022,-0.717589,0.038138,0.037468,-0.49374,-0.492079
29.69,29.69,-0.706019,-0.706211,0.087925,0.08753,-0.482562,-0.483715
29.89,29.89,-0.686719,-0.690117,0.093477,0.092075,-0.481831,-0.481555
30.4,30.41,-0.621586,-0.622761,0.12899,0.128704,-0.552989,-0.554525
30.48,30.47,-0.624002,-0.616912,0.129545,0.129944,-0.558513,-0.554545
30.46,30.46,-0.706167,-0.706177,0.037626,0.040288,-0.489143,-0.490691
29.77,29.77,-0.706496,-0.706482,0.087942,0.086954,-0.484068,-0.483594
30.43,30.43,-0.705685,-0.706532,0.040121,0.040765,-0.489111,-0.491049
30.6,30.6,-0.70124,-0.7036,0.042127,0.041681,-0.488549,-0.487478
